,news_id,user_id,title
0,150,11,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate"""
1,93,28,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
2,7,30,The Black Sphere with Kevin Jackson
3,91,30,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context
4,93,36,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
5,91,63,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context
6,93,74,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
7,142,74,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car"
8,150,82,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate"""
9,30,84,REVEALED! Minnesota Mall Attacker ID'd As One Of Hillary's Somali Muslim Refugees
10,91,147,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context
11,93,141,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
12,93,142,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
13,23,111,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald
14,150,111,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate"""
15,82,141,EXPOSED: Soros Funding Fake Veterans’ PAC To Take Trump Down
16,113,198,Trump Just Made A Campaign Promise So Ridiculous It Makes ‘Read My Lips’ Look Good ‹ Opposition Report
17,115,201,Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video]
18,141,251,"Two White Men Doused With Gasoline, Set On FIRE By Blacks"
19,150,254,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate"""
20,93,258,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising
21,115,258,Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video]
22,150,289,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate"""
23,7,292,The Black Sphere with Kevin Jackson
24,73,292,New Clinton Foundation SCANDAL Just Broke – This Is What Hillary ACTUALLY Thinks About Black People…
25,80,292,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means… [VIDEO]
26,77,312,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’"
