news_id,user_id,title,news_type,news_title_hash
140,10,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
150,11,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
21,41,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
42,51,National poll: Clinton leads Trump by 6,Real,B4EA27
51,114,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real,229D27
45,67,How to watch the first presidential debate,Real,F6430A
138,78,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
150,82,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
172,85,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means… [VIDEO],Fake,7EB31E
45,98,How to watch the first presidential debate,Real,F6430A
140,107,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
114,82,Trump Just Made A Campaign Promise So Ridiculous It Makes ‘Read My Lips’ Look Good ‹ Opposition Report,Fake,6513A0
82,128,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real,CA534D
143,132,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake,19776E
31,133,Clinton: ‘The next 50 days will determine the next 50 years’,Real,C2F13C
23,134,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,134,How to watch the first presidential debate,Real,F6430A
78,143,Insiders: The heat is on Hillary,Real,232D46
21,144,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
140,169,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
23,182,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
169,187,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
45,189,How to watch the first presidential debate,Real,F6430A
42,203,National poll: Clinton leads Trump by 6,Real,B4EA27
42,231,National poll: Clinton leads Trump by 6,Real,B4EA27
140,234,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
138,246,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
78,254,Insiders: The heat is on Hillary,Real,232D46
150,254,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
150,257,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
115,258,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
140,258,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
45,281,How to watch the first presidential debate,Real,F6430A
169,306,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
150,345,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
150,349,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,354,How to watch the first presidential debate,Real,F6430A
10,376,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
